zipcode,ZipState,PctUrban,TotPop10,MedianAge,pctBlackAlone,pctAsianAlone,pctHispanicAlone,MedianHHInc,college_plus,unempRate,HHSize,weight
61068,Illinois,76.3,14858,36.7,1.3,0.9,21.9,50482,16.8,6.4,2.57,1.160153188
61070,Illinois,0,1130,48.1,3.9,0,0.1,65265,12.5,6.3,2.33,0.726860711
61071,Illinois,78.8,14381,43.1,0.7,0.2,11.2,40079,10.1,6.1,2.38,1.160484146
61072,Illinois,80.1,11797,39.6,0.2,2.7,1.4,74219,26.1,5.7,2.8,0.98053352
61073,Illinois,92.9,20052,40.2,1.9,2.2,2.7,78896,28,5,2.87,1.073044742
61074,Illinois,62.9,4431,46.9,0,0.3,2.9,41890,14.4,9.5,2.09,0.855318771
61075,Illinois,0,958,46.3,0,0.2,1.2,56781,22.4,2.3,2.36,0.8455638
61078,Illinois,0,1374,42.8,0,0.1,7.3,53355,14,3,2.33,0.867549537
61080,Illinois,91.2,10599,37.8,2.7,0.7,10.3,54729,16.7,7.2,2.78,1.140542499
61081,Illinois,79.3,21934,41.3,1.7,0.5,19.9,44790,19,5.8,2.52,1.224361122
61084,Illinois,39.7,3175,34,0,1,3.5,68542,25,2.2,2.63,0.971056909
61085,Illinois,0,3443,44.5,0.3,0.4,0.4,42639,16,4.6,2.18,0.813598675
61087,Illinois,0,1670,43.6,0.3,0,0.5,49438,14.7,5.1,2.35,0.792381714
61088,Illinois,52.5,6020,38,1.5,0,2.8,78074,26.5,3.8,2.92,0.98009956
61089,Illinois,0,867,47.7,0,0,0.8,56667,29.6,2.8,2.35,0.822587831
61101,Illinois,90.3,21593,32.1,40.9,0.5,14.9,29909,10.8,10.9,2.8,1.710063887
61102,Illinois,86.2,20538,34.2,33,0.5,26,31701,11.4,9.2,2.84,1.762923246
61103,Illinois,96.6,24578,37.7,22.3,0.7,12.3,35960,18.4,8.9,2.33,1.38000392
61104,Illinois,100,19269,31,16.8,4.7,20.4,23994,7.3,12.2,2.61,1.420605375
61107,Illinois,100,30439,41.9,7.3,4.8,10.4,56348,35.7,5.6,2.34,1.177559106
61108,Illinois,100,28550,39.7,8.7,2.3,13.2,47067,21.7,7.2,2.42,1.238034608
61109,Illinois,97.2,28333,36.8,10.8,3.5,15.1,41315,12.6,10.1,2.53,1.196999633
61111,Illinois,99.8,23492,37.8,4,2.4,6.6,50828,22.8,7.7,2.54,1.114052931
61114,Illinois,100,15776,49.2,7.5,4.8,4.9,70104,43.1,4.8,2.33,1.107709948
61115,Illinois,98.4,23180,39.2,1.9,1.3,5,54818,12.2,8.5,2.71,1.066905691
61201,Illinois,100,39116,37.1,16.9,0.9,10.2,42771,22,4.8,2.33,1.455020104
61230,Illinois,0,1232,40.5,0,1.8,2.9,54194,16.2,1.9,2.26,0.859298391
61231,Illinois,65,5627,44.4,1.1,0.2,2.4,44123,13.9,3.3,2.27,1.115845591
61232,Illinois,0,1284,43.3,0.9,0.2,1.7,67212,17,3,2.68,0.839609535
61234,Illinois,0,1258,42.6,3.1,0.7,2.7,58250,23.9,6,2.29,0.744858365
61235,Illinois,0,1391,43.5,0,0,0.5,50000,11.9,4.1,2.32,0.815935407
61238,Illinois,0,3247,40.7,2.4,0.4,2.5,56214,22.2,1.7,2.37,0.890128958
61239,Illinois,97.2,1219,28.4,17,0.4,9.7,29414,5.8,5.4,2.58,1.630885253
61240,Illinois,72.3,5870,44,1.7,0.1,1.2,70472,26.2,3.4,2.69,1.062710032
61241,Illinois,75.9,7124,41.1,1.8,0,5.8,50000,10.7,3.6,2.44,1.173709537
61242,Illinois,0,1145,49.3,0.1,1.6,0.5,61544,19.6,2.7,2.39,0.817363663
61243,Illinois,0,264,51.3,0,0,0,68056,12.6,1.1,2.7,0.895424487
61244,Illinois,97.1,24053,39.4,12.7,2.8,15.7,44275,17,5,2.34,1.409036569
61250,Illinois,0,2737,42.8,1.5,1.2,3.5,51739,21.3,2.9,2.42,0.875349543
61251,Illinois,0,347,43.8,0,2.2,0,46964,0,10.3,2.48,0.676601396
61252,Illinois,67.8,5436,45.9,1.7,0.7,0.3,51809,15.8,3.5,2.24,1.056810884
61254,Illinois,57.2,11414,42.6,0.3,0.2,1.7,67223,29,1.6,2.51,1.044650149
61256,Illinois,97.1,1822,41.8,6.6,0.2,7.8,66447,22.2,3,2.55,1.279283186
61257,Illinois,0,1210,48.1,0,0,4.2,48466,17.5,6.7,2.05,0.724159976
61258,Illinois,0,204,44.1,0,0,0,43523,11.6,8.4,2.82,0.777378411
61259,Illinois,0,1276,43.3,0.8,1.6,0.8,64338,24.2,3.9,2.34,0.764580599
61260,Illinois,0,856,36.2,0,0,0.5,60431,15.5,2.8,2.72,0.858425391
61261,Illinois,0,975,40,1.3,0.3,2.8,52888,10.2,6.2,2.27,0.753175706
61262,Illinois,0,1188,48.1,0,0.4,1.8,68300,23.5,3.1,2.61,0.815251812
61264,Illinois,67.4,10548,46.6,3.1,0.2,2.3,47324,14.6,6.1,2.23,1.006375535
61265,Illinois,100,45099,38.7,4.9,2.6,16.8,49296,25.9,5.3,2.37,1.275478805
61270,Illinois,56.7,7306,41.9,1.5,0,3.8,51080,14.9,5.5,2.47,0.999772874
61272,Illinois,0,1504,48,0,0.7,0.6,56083,5.6,5.6,2.35,0.757835279
61273,Illinois,0,3316,42.1,0,0.6,1,67250,25.1,1.6,2.63,0.85860556
61274,Illinois,0,351,38.3,0,0,0,70875,20,2,2.42,0.804675197
61275,Illinois,39.8,4347,43.2,0.2,0.5,2.4,76458,24.9,5.2,2.6,0.844074944
61277,Illinois,0,3355,42.9,0.4,0.7,4,48646,18,4.3,2.41,0.840858155
61279,Illinois,0,1061,41.6,0.3,0.2,0,57708,20.1,1.9,2.6,0.883126383
61281,Illinois,0,2597,43,0.8,0.1,2.2,78381,22.1,2.1,2.76,0.840528171
61282,Illinois,100,7809,42,3.6,2.4,11.9,40271,15.8,4,2.18,1.332392779
61283,Illinois,0,1640,26.2,0,0.3,1.9,50758,8.7,1.8,3.33,1.01426142
61284,Illinois,0,2292,51.6,0,0,0.7,67321,28.3,3.5,2.41,0.775453685
61285,Illinois,0,1631,44.7,2.2,1.3,4.1,43333,13.6,5.5,2.15,0.809384702
61301,Illinois,90.9,10588,39.9,0.5,0.4,9.2,46856,16.4,7.5,2.38,1.078451469
